text	reason
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Sango bolas, juneco petolas.	grammar-or-spelling
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Sen speso unua ne ekzistas la dua.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Sen speso unua ne ekzistas la dua.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Ni devis forlasi niaj vestojn, kiuj igis tro pezaj niajn movadojn.	grammar-or-spelling
Ni vidas per la okuloj kaj aŭdas perla oreloj.	grammar-or-spelling
Ni vidas per la okuloj kaj aŭdas perla oreloj.	grammar-or-spelling
Eble ni aldonu al ĝi ankoraŭ unu ingrediencon, por ke ĝi estu pli efika?	grammar-or-spelling
Alveninte, troviĝas neniu; sed mi vidis la homoj enmare en kvar boatoj.	grammar-or-spelling
Tiuj-ĉi kvin viroj estis parto da ŝipanoj, kiuj elĵetis Paŭlo el lia ŝipo.	grammar-or-spelling
Alicio tuj levis sin kaj rajte pensisdum ŝi kuraskian mirindan sonĝon ŝi sonĝis!	grammar-or-spelling
Unu tagon la franca pretro demandis min ĉu mi lasos Vendredon sur la insulo.	grammar-or-spelling
"Ho, rigardu, zorgu,mi petegasla infanon!" Alicio ekkriis.	grammar-or-spelling
Alicio per vigla serĉrigardo esploris la tutan tablon, kaj vidis sur ĝikrom teaĵojnenion.	grammar-or-spelling
"Ho, rigardu, zorgu,mi petegasla infanon!" Alicio ekkriis.	grammar-or-spelling
Kiam ili aproksimiĝis, Paŭlo kaj Vendredo deziris ke mi tuj ataku ilin.	grammar-or-spelling
Ne, mi kaŭzi ili ami vi multe.	grammar-or-spelling
Dirinte tion, ŝi malfermis mem la pordon kajeniris.	grammar-or-spelling
Fine la Reĝo devis anonci "Mi faris ŝercon," kajtuj la korteganoj aplaŭdis amase.	grammar-or-spelling
Ilin akompanis juna nevino, dekkvinjara knabino, kiun ambaŭ hontinde dorlotis.	grammar-or-spelling
Vespere mi multfoje ludadis, dum Aleksandra min akompanis min per la piano.	grammar-or-spelling
Ŝi ne povis utiligi siajn sperton kaj kapablojn.	grammar-or-spelling
En la bibilotekego, kun granda surprizo, mi trovas libron pri Esperanto.	grammar-or-spelling
Ĉe tiu rimarkis, ke Floriso aspektas malĝoja.	grammar-or-spelling
Ĉu homo kiu nur skribas versojn?	grammar-or-spelling
Mi baldaŭ estis sur la loko, kaj ekvidis mevon sidantan sur nesto.	grammar-or-spelling
Saluton?	grammar-or-spelling
Li sidiĝis sur sia ora trono, ordonis, ke ĉiuj silentu kaj parolis:	grammar-or-spelling
Vi lin tie vidis?	grammar-or-spelling
Ĉu homo kiu nur skribas versojn?	grammar-or-spelling
Jam tiel frue en la mateno?	grammar-or-spelling
Rikardo Kovacs li flustras; tiam meditante li rigardas antaŭ sin.	Estas en ?i hungara familia nomo. Prononcante ?in esperante estus misgvida kaj malfacila, proninci nacilingve multaj ne scius kiel, kaj la tasko estas doni modelan _esperantan_ prononcon.
Kiu vi estas? demandis mia patrino.	"La registro estis tro longa." - mi legis post la (nesukcesa) registro. \nJes, longa, sed kion fari? ?u eblas legi iel a? ?iuj neglektos? Oni atingu la verkinton a? iu, kiu povas mallongigi ?in.
La profesio estas uno, ĉio ili kapablas estas pluaĵo.	grammar-or-spelling
Rikardo Kovacs li flustras; tiam meditante li rigardas antaŭ sin.	difficult-pronounce
Foje, moneroj glitas al en internaj poŝoj.	grammar-or-spelling
Li mortis la pro kancero.	grammar-or-spelling
Li mortis la pro kancero.	grammar-or-spelling
Neniu de tiuj signifoj ĉi-tie taŭgas.	grammar-or-spelling
Inter novembro-januaro kelkfoje eĉ frostas.	grammar-or-spelling
Tiuj birdoj migras suden al Sudorienta Usono suden al Centrameriko.	grammar-or-spelling
Prilaboris originalan interpreton de de induktanco-ŝanĝoj depende de temperaturo.	grammar-or-spelling
Pro la supre menciitaj, ĝi estas minacata besto je formorto.	grammar-or-spelling
Kaj do pruvo ke Dio ekzistas.	grammar-or-spelling
La loĝantaro laboras en la proksima ĉefurbo, kiu ne sufiĉas por la normala vivado.	grammar-or-spelling
Li mortis la pro kancero.	grammar-or-spelling
Helpe de stipendio li daŭris la lernadon en belarta akademio en Munkeno.	grammar-or-spelling
Helena kaj sia edzo havis almenaŭ ok gefilojn.	grammar-or-spelling
Posedas la germanan, francan, rusan.	grammar-or-spelling
Kiel pentristo li famis ĉefe pri murpentraĵoj por publikaj institucioj.	grammar-or-spelling
Gorĝo estas blanka kun ruĝeca strio en ĉiu flanko.	grammar-or-spelling
Plej parto de la Kabo Jorko estas kovrita de tropikaj savanoj.	grammar-or-spelling
Finfine eĉ povis alveni italaj koloniistoj en la landon.	grammar-or-spelling
Bicikloj ankaŭ povas esti akceptitaj en la pramo.	grammar-or-spelling
Li kunlaboris al la revuoj "Esperanto", "Monda Poŝto", "Internacia Medicina Revuo", "Vespera Horo".	grammar-or-spelling
Ne estas certe, ĉu tiun kalkulon li faris.	grammar-or-spelling
La metroo estas atingebla el mezo de la placo, kie oni konstruis domon.	grammar-or-spelling
Li neniam gradiĝis, sed nuntempe estas li kiu estas studita.	grammar-or-spelling
Vilhelmo la Konkerinto unue konstruigis ĝin por helpi defendi la urbon Londonon.	grammar-or-spelling
La metroo estas atingebla el mezo de la placo, kie oni konstruis domon.	grammar-or-spelling
Tamen li subite mortis dum la sama jaro.	grammar-or-spelling
Ankaŭ ricevis stipendion de Ministerio pri Kulturo kaj Nacia Heredaĵo.	grammar-or-spelling
Interne plejparte muzeo funkcias.	grammar-or-spelling
Ĝia rikolto, per komercaj interesoj, kaŭzis gravan malpliiĝon en populacioj.	grammar-or-spelling
Ĉiu parto de la planto esta manĝebla.	grammar-or-spelling
Dum periodo de sep jaroj li veturis tra tuta Nordafriko kaj Malgranda Azio.	grammar-or-spelling
Li mortis la pro kancero.	grammar-or-spelling
Lia literatura produktado dividiĝas ĉefe en du grandaj partoj: eseo kaj romano.	grammar-or-spelling
Mi helpis lin gardi lian entuziasmo.	grammar-or-spelling
Ĝi estas ofte privata kaj apartenas al bieno, hospitalo, prizono ks.	grammar-or-spelling
La ĝi atingis Santiago de Cuba.	grammar-or-spelling
Ĝi estas ofte privata kaj apartenas al bieno, hospitalo, prizono ks.	difficult-pronounce
Onidire ĝi estas pli parenca al la japana-rjukjua lingvo.	difficult-pronounce
En unu romano, "Puck", parolanta hundo rakontas siajn vidpunktojn pri la socio.	difficult-pronounce
Li mortis la pro kancero.	grammar-or-spelling
Ankaŭ la estas ofta.	grammar-or-spelling
Li mortis la en Pest.	grammar-or-spelling
Vidu la oficialan paĝon kaj en Germana Nacia Biblioteko en eksteraj ligiloj.	grammar-or-spelling
Ambaŭ estas skribita per la araba alfabeto.	grammar-or-spelling
Mi helpis lin gardi lian entuziasmo.	grammar-or-spelling
Mi helpis lin gardi lian entuziasmo.	grammar-or-spelling
La stacio troviĝas sub kaj ĉirkaŭ Placo de la Nation.	grammar-or-spelling
Mi helpis lin gardi lian entuziasmo.	grammar-or-spelling
Post la Dua Mondmilito komencis konstruado por nova domo.	grammar-or-spelling
Ambaŭ estas skribita per la araba alfabeto.	grammar-or-spelling
La stacio troviĝas sub kaj ĉirkaŭ Placo de la Nation.	grammar-or-spelling
Prilaboris originalan interpreton de de induktanco-ŝanĝoj depende de temperaturo.	grammar-or-spelling
Mi helpis lin gardi lian entuziasmo.	grammar-or-spelling
La stacio troviĝas sub kaj ĉirkaŭ Placo de la Nation.	grammar-or-spelling
Tio ĉi familio enhavas speciojn.	grammar-or-spelling
Li mezuris kaj interpretis la de la steloj.	grammar-or-spelling
Li estas aperis en la Informilo Video.	grammar-or-spelling
Nur ĉe malmultaj unuopaj arboj oni faris esploron de la aĝon.	grammar-or-spelling
Li eniris Universitato-Kolegio, Londono, sed ĉesis la studojn post nur unu jaro.	grammar-or-spelling
Li estas aperis en la Informilo Video.	grammar-or-spelling
La brazilaj havenoj estis malfermitaj al internacia komerco kaj finis la kolonia monopolo.	grammar-or-spelling
Ĝis nun registris pli ol ludantoj.	grammar-or-spelling
Li trejnis ĉe Consadole Sapporo kaj Vegalta Sendai.	different-language
Li trejnis ĉe Consadole Sapporo kaj Vegalta Sendai.	difficult-pronounce
Tial dum multaj jaroj iĝis divido en la domojn Hesio-Kaselo kaj Hesio-Darmstadt.	difficult-pronounce
Malsupre, naskiĝanta suno, tradicia simbolo de novo komenco.	grammar-or-spelling
Li estis membro de la loĝio "Grand Orient de France".	difficult-pronounce
Li estis membro de la loĝio "Grand Orient de France".	different-language
Esperanto jes havas apartan interogativan partukulon, nome "ĉu".	grammar-or-spelling
La evoluo de libera ĵazo okazis en Usonon kaj malmulte poste ankaŭ en Eŭropo.	grammar-or-spelling
Ambaŭ estas skribita per la araba alfabeto.	grammar-or-spelling
En lia familio estis ankaŭ grava figuroj de la etoso de beletroj.	grammar-or-spelling
La komunumo urbiĝis en.	grammar-or-spelling
La atingebla rapideco estis maks.	grammar-or-spelling
Birds of South Asia.	different-language
Kelkaj monatoj poste naskiĝis Dionizo, la dio dufoje naskiĝinta.	grammar-or-spelling
Prilaboris originalan interpreton de de induktanco-ŝanĝoj depende de temperaturo.	grammar-or-spelling
Tie la substancoj fariĝas mielon.	grammar-or-spelling
La regiono "Litoral Centro" limas norde al la Meksika Golfo.	different-language
Pri sia amiko de Hermann Hesse li verkis biografion.	grammar-or-spelling
En lia familio estis ankaŭ grava figuroj de la etoso de beletroj.	grammar-or-spelling
Ĝi povas havi multan kaŭzojn, povas esti denaska aŭ inflamo kaj bruo.	grammar-or-spelling
Baldaŭ ŝi translokiĝis al Parizo, kie ŝi denove estis profesia fotisto.	Ned "genro" kaj "specio", au eble "speco".
La dieto de kolomboj de tiu genro konsistas el fruktoj kaj semoj.	grammar-or-spelling
La studo el mineraloj estas nomita mineralogio.	grammar-or-spelling
Li studis en liceo de Miercurea Ciuc.	difficult-pronounce
Nerila valerato reakcias kun fortaj oksidigagentoj kaj fortaj bazoj.	difficult-pronounce
De tiam, la ribelo eksplodis laŭlonge de la tuta duoninsulo, kaj ekis la militon.	grammar-or-spelling
Nerila valerato reakcias kun fortaj oksidigagentoj kaj fortaj bazoj.	difficult-pronounce
Ĝi havas malgrandan navon kaj absido, kun enirejo sude.	grammar-or-spelling
Malsupre, naskiĝanta suno, tradicia simbolo de novo komenco.	grammar-or-spelling
Birds of South Asia.	different-language
Fine de la Dua Mondmilito, Fr.	grammar-or-spelling
Ili estas tre aktivaj birdoj dum kaptas insektojn inter la kanopeo.	grammar-or-spelling
Birds of South Asia.	different-language
Birds of South Asia.	different-language
Tiel ekzemple birdoj estas en la sama klado kiel dinosaŭroj.	grammar-or-spelling
La ĝardenon oni disvastigis ĝis la rivero Morava: ĝi inkluzivis la tn.	difficult-pronounce
La vilaĝo situas en valo de rojo, fine de mallonga sakovojo.	Mi ne havas malfacila?ojn kun la frazoj sed mi ne scias kiel uzi mian komputilon. Ho ve! Tial mankas virinoj en via enketo.
En lia familio estis ankaŭ grava figuroj de la etoso de beletroj.	grammar-or-spelling
Poste li daŭrigis la studadon en la Humboldt-universitato Berlino kaj la universitato Munkeno fort.	grammar-or-spelling
Post komenco de lernado en Ukraina Akademia Gimnazio en Lvovo ekloĝis ĉe sia avino.	grammar-or-spelling
Ĝi povas havi multan kaŭzojn, povas esti denaska aŭ inflamo kaj bruo.	grammar-or-spelling
La dieto konsistas el insektoj, kutime kaptitajn dumfluge super herbejo.	grammar-or-spelling
Ĝi kunmetis el du zonoj.	grammar-or-spelling
Fine de la Dua Mondmilito, Fr.	Mallongigo
Fine de la germana urbo Laufenburg havis loĝantojn.	grammar-or-spelling
La analizo eniras detalojn sur la moralaj kvalitoj de la homo.	Pri, ne sur
Liaj ĉefinstruisto estis David Popper.	Nomo en la angla
Ili povas ŝanĝi el unu nesto al alia kaj ofte uzas malnovajn nestojn.	grammar-or-spelling
Li estis gravaj figuroj de la hungaraj literaturo kaj politiko.	grammar-or-spelling
Tiu arbalciono estas esence loĝanto en multe de sia teritorio, krom sezonaj movoj.	grammar-or-spelling
La dieto konsistas el insektoj, kutime kaptitajn dumfluge super herbejo.	grammar-or-spelling
La plej parto el ili kreskigis la artojn, sciencojn, kaj edukadon.	grammar-or-spelling
Fine de la Dua Mondmilito, Fr.	Mallongigo
Ĝi kunmetis el du zonoj.	grammar-or-spelling
Ŝajnas, dum la turkoj la komunumo senhomiĝis.	grammar-or-spelling
Liaj ĉefinstruisto estis David Popper.	grammar-or-spelling
La ĝardenon oni disvastigis ĝis la rivero Morava: ĝi inkluzivis la tn.	difficult-pronounce
Birds of South Asia.	different-language
Li estas aperis en la Informilo Video.	grammar-or-spelling
Ĝuste post jardeko li akiris PhD en Universitato de Pensilvanio.	difficult-pronounce
Ankaŭ ili estro, Murat Reis la Juna estis nederlandano.	grammar-or-spelling
Foje ili manĝas ankaŭ pli grandajn predojn kiaj fiŝoj kaj nesalakvaj kraboj.	grammar-or-spelling
Lia fama estas la traduko de la Hebrea Biblio ak greka lingvo.	grammar-or-spelling
Foje ili manĝas ankaŭ pli grandajn predojn kiaj fiŝoj kaj nesalakvaj kraboj.	grammar-or-spelling
Birds of South Asia.	different-language
Li estis gravaj figuroj de la hungaraj literaturo kaj politiko.	grammar-or-spelling
Estiĝis fondaĵon por konstrui la kapelon Sankta.	grammar-or-spelling
Fine de la germana urbo Laufenburg havis loĝantojn.	grammar-or-spelling
Tion kutimon oni konas ekde pratempoj.	grammar-or-spelling
La resto de la kolo kaj gorĝo estas grizaj.	grammar-or-spelling
Ĝuste post jardeko li akiris PhD en Universitato de Pensilvanio.	grammar-or-spelling
Ĝuste post jardeko li akiris PhD en Universitato de Pensilvanio.	Mallongigo
Ilia sanktaj tekstoj estis la apokrifaj Agoj de Andreo kaj la Agoj de Tomaso.	grammar-or-spelling
Birds of South Asia.	different-language
Ĝi sekve apartenas al la familio de la tn.	grammar-or-spelling
La ĉefurbo de la komunumo same nomiĝas La Concordia.	Concordia - Konkordia?
Ili eblis eniri homojn kaj konduki ties agadojn.	Cxu "enirigi"?
La ĉefurbo de la komunumo same nomiĝas La Concordia.	grammar-or-spelling
Ankaŭ li tradukis kantoj en la rusa el aliaj lingvoj.	grammar-or-spelling
Poste anstataŭis ĝin la tiucele la petrolo.	grammar-or-spelling
Li mezuris kaj interpretis la de la steloj.	grammar-or-spelling
Joe transporti la eventon.	grammar-or-spelling
Publikigo ne okazis dum lia vivo, escepte la lidoj, kiujn muzikigis Brahms.	difficult-pronounce
Li estis parenco al la unua ĉefministro de Irako, Abd ar-Rahman al-Hajdari al-Gillani.	difficult-pronounce
Li mezuris kaj interpretis la de la steloj.	grammar-or-spelling
Birds of South Asia.	different-language
Birds of South Asia.	different-language
La kapelo estis konstruita de aŭ por monaĥoj.	grammar-or-spelling
Joe transporti la eventon.	grammar-or-spelling
Pro la prosimiĝanta nazia danĝero ili migris al Usono.	grammar-or-spelling
Diferencaj partoj de la registraĵo povas esti ludata por aliri al diferencaj sonoj.	grammar-or-spelling
Birds of South Asia.	different-language
Birds of South Asia.	different-language
Birds of South Asia.	different-language
Ĉi tiu distrikto posedas kvadratajn kilometrojn, kie loĝas ĉirkaŭ personoj.	grammar-or-spelling
Vidu: sociologio de religio kaj psikologio de la Religio.	grammar-or-spelling
Dum la milito neniu kontraŭulo havis pli grandaj sukcesojn.	grammar-or-spelling
Krom la instruado li verkis artikolojn pri algebro kaj historio de la matematiko.	grammar-or-spelling
Liaj ĉefinstruisto estis David Popper.	grammar-or-spelling
Birds of South Asia.	different-language
Liaj ĉefinstruisto estis David Popper.	grammar-or-spelling
Li mortis la en Romo.	grammar-or-spelling
Tiu nearktisa specio loĝas en densa ĉiamverda arbaro kaj arbustaro, prefere ĉeriveraj areoj.	grammar-or-spelling
Partoprenis la lokan kiel ankaŭ la int.	mallongigo
Poste, li vivis en Brazilo kiaj ankaŭ en Eŭropo.	grammar-or-spelling
La nuna blazono ligas al la plej malnova aspekto.	grammar-or-spelling
La nuna blazono ligas al la plej malnova aspekto.	Transitiveco
Li mortis la en Romo.	grammar-or-spelling
Tamen estas mikroorganismoj, kiu vivas tie.	grammar-or-spelling
Tiu nearktisa specio loĝas en densa ĉiamverda arbaro kaj arbustaro, prefere ĉeriveraj areoj.	grammar-or-spelling
Tial li ekhavis monon, kiun li profitis la pluan lernadon en Berlino.	grammar-or-spelling
Sinsekve la relikvoj estis transportitaj al Konstantinopolo kaj do al Francio iniciate krucmilitistoj.	grammar-or-spelling
En la necesejo?	grammar-or-spelling
Birds of South Asia.	different-language
Nun plu ne.	grammar-or-spelling
En la Kanariaj Insuloj estis du specioj nun formortinta giganta testudo.	grammar-or-spelling
Rompita ĉeno kuŝas ĉe ŝiaj piedoj.	grammar-or-spelling
Malgraŭ la sciencaj studoj, lia intereso en arto kaj literaturo daŭrigis.	grammar-or-spelling
Ĉiuj tiuj specoj vivantaj sur malgrandaj insuloj formortis.	grammar-or-spelling
Tiu birdo estas konsiderata draste endanĝerita pro ĉasado, ĝenado kaj senarbarigo de malaltaj teroj.	grammar-or-spelling
En la necesejo?	grammar-or-spelling
Ni al neniu altrudas niajn idealoin kaj esperojn.	grammar-or-spelling
Sur la Sava Rivero estas konstruitaj du hidroelektra plantoj.	grammar-or-spelling
Baldaŭe pro ĝia klimato ĝi iĝis la somera ĉefurbo de brita Birmo.	grammar-or-spelling
Li ankaŭ faris prelegojn kaj donis helpon al pedofiloj.	La frazo Ne havas sencon. Kial uzi pedofiloj? 
Birds of South Asia.	different-language
Kp programara metiejo, medio.	mallongigo
Birds of South Asia.	different-language
Li estis kunlaboranto de Th.	mallongigo
En Szabolcs migra poŝto servas.	difficult-pronounce
Li daŭris per PhD en hind-eŭropa lingvistiko ĉe la Universitato Harvard.	mallongigo
La unuaj nigrulaj loĝantoj estis ligitaj kun la St.-Philips-Episkopa-Preĝejo.	mallongigo
Centro estis ĉefa, la tn.	mallongigo
Li naskiĝis en Bari, do nun estas -jara.	grammar-or-spelling
En Krakovo, kie naskiĝis, finis gimnazion.	grammar-or-spelling
La ceterajn akuzojn jesis.	grammar-or-spelling
Jam en la sama jaro li denove geedziĝis.	grammar-or-spelling
Post multaj kritikoj pi malvenkis en balotado kaj ĉesis esti deputito.	grammar-or-spelling
Esceptaj pri tio estas tn.	grammar-or-spelling
En lasta temo la burgo estis parte renovigita.	grammar-or-spelling
Post jardeko li atingis la sciencan gradon PhD, samtempe li estis nomita katedrestro.	mallongigo
Post jardeko li atingis la sciencan gradon PhD, samtempe li estis nomita katedrestro.	mallongigo
Li naskiĝis kaj mortiĝis en Moskvo.	grammar-or-spelling
Esceptaj pri tio estas tn.	mallongigo
El la domoj en la juda urbo tiel fariĝis pli-mapli laborista kolonio.	grammar-or-spelling
Erika Hajnal naskiĝis la en Budapeŝto.	grammar-or-spelling
Krome, en Szczecin troviĝas ankaŭ la dua nuntempe ekzistanta urba pordego: Havena Pordego.	difficult-pronounce
En Nederland nur la katedralo de Utreĥto havas pli altan turon.	grammar-or-spelling
Hughes estas plej bone konata pro sia laboro dum la Renesanco de Harlem.	difficult-pronounce
Hughes estas plej bone konata pro sia laboro dum la Renesanco de Harlem.	"Hughes" ne Esperantigita
Erika Hajnal naskiĝis la en Budapeŝto.	grammar-or-spelling
Li mortis nur kelkaj tagoj poste.	grammar-or-spelling
Li mortis nur kelkaj tagoj poste.	La tempoj bezonas n
Ne estis enketon je ŝiajn pretendojn.	grammar-or-spelling
Annie Ross nun vivas en Novjorko.	Annie ne Esperantigita
La deveno de la nomo ne estas tute klare.	grammar-or-spelling
Vd ankaŭ modo, aspekto.	grammar-or-spelling
Erika Hajnal naskiĝis la en Budapeŝto.	grammar-or-spelling
Eb tiu longa periodo li ne forlasis la pentradon.	grammar-or-spelling
Afiŝoj tra la ĝardeno citas rilatajn judajn tekstojn en hebrea kaj en angla.	grammar-or-spelling
Li estas bone konata pro sia matematikaj modeloj de kompleksaj sistemoj.	grammar-or-spelling
Siaj teoriaj bazoj estas la artefarita inteligenteco, la matematika logiko kaj la evolua psikologio.	different-language
Siaj teoriaj bazoj estas la artefarita inteligenteco, la matematika logiko kaj la evolua psikologio.	grammar-or-spelling
Oni produktaj ĉefe vestaĵojn kaj nutraĵojn.	grammar-or-spelling
Esceptaj pri tio estas tn.	grammar-or-spelling
Vd ankaŭ modo, aspekto.	grammar-or-spelling
Ĝi ricevis la nomon de la finnlanda urbo Turku, ede kiu ĝi estis malkovrita.	grammar-or-spelling
Esceptaj pri tio estas tn.	grammar-or-spelling
Esceptaj pri tio estas tn.	difficult-pronounce
Li naskiĝis en Novo Hamburgo, do nun estas -jara.	grammar-or-spelling
En tiu maniero, ili ne povis krei problemoj.	grammar-or-spelling
Esceptaj pri tio estas tn.	mallongigo
Indiĝenoj parolas ses mon-kmerajn lingvojn.	grammar-or-spelling
Hieronimo estis la filo de Jacob Praetorius la pli maljuna.	difficult-pronounce
Esceptaj pri tio estas tn.	mallongigo
Elstaris la sap-fabrikejo, la lana kaj la silka artoj.	grammar-or-spelling
La inoj estas pli grandaj pl maskloj.	grammar-or-spelling
El tiu tempo venas la fama tombejo nro.	mallongigo
La inoj estas pli grandaj pl maskloj.	grammar-or-spelling
Pli granda parto de la tn.	grammar-or-spelling
La lernejo agas koresponda edukado.	grammar-or-spelling
Ĝi ricevis la nomon de la observatorio elde kiu oni malkovris ĝin.	grammar-or-spelling
Antal Endre Fekete naskiĝis la en Budapeŝto.	grammar-or-spelling
La gazetaro ĉiam tre ŝatis Arno-n.	mallongigo
La inoj estas pli grandaj pl maskloj.	grammar-or-spelling
Pli granda parto de la tn.	grammar-or-spelling
La brileto de for iĝis pli prokisma.	grammar-or-spelling
Li ankaŭ akompanis John Hammond Jr kaj havis la eblecon, agi kiel solisto.	mallongigo
La inoj estas pli grandaj pl maskloj.	grammar-or-spelling
Pli granda parto de la tn.	mallongigo
La inoj estas pli grandaj pl maskloj.	grammar-or-spelling
La antaŭa domo tiam estis unuigita kun la konstruaĵo en Allerheiligen-strato nr.	mallongigo
Li ankaŭ akompanis John Hammond Jr kaj havis la eblecon, agi kiel solisto.	mallongigo
La patro kiu kovas ne manĝas.	grammar-or-spelling
Pli granda parto de la tn.	mallongigo
La pozitiva filozofio kreis ankaŭ teorion pri reformo de socio kaj religion.	grammar-or-spelling
La ŝtata parlamento kreis la kantonon la el parto de Kantono Stevens.	grammar-or-spelling
Pli granda parto de la tn.	grammar-or-spelling
La ĉefa pristudo celo estas la geografia spaco, konsiderata kiel socia konstruado.	grammar-or-spelling
La antaŭa domo tiam estis unuigita kun la konstruaĵo en Allerheiligen-strato nr.	grammar-or-spelling
La preĝejo kun la monaĥejo formas kvadrato, meze estas korto.	grammar-or-spelling
Ain estas, ĉefe, terkultura fako.	grammar-or-spelling
Antal Endre Fekete naskiĝis la en Budapeŝto.	grammar-or-spelling
Lia plej grava instruanto estis sia patro.	grammar-or-spelling
